会員番号,Googleメール,GoogleID,名前,性別,年代,業種,職種,現在地,出身地,自己紹介,こんな人と繋がりたい,こんな人とは繋がりたくない,タグ,プロフィール画像URL,LINE,Instagram,X,YouTube,掲載中,社長マーク,社長マーク状態,オンライン状態,掲載日,登録日時,更新日時,最終ログイン日時
00058,user00058@example.com,google-sub-00058,原陽子,女性,40代,教育,個人事業主,兵庫県,静岡県,教育で活動する個人事業主の原陽子です。会員No.00058として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,兵庫",https://i.pravatar.cc/150?img=58,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-06 05:00:00,2026-03-17 05:00:00,2026-04-06 11:00:00,2026-04-06 11:00:00
00059,user00059@example.com,google-sub-00059,柴田健太,男性,50代,医療・福祉,フリーランス,広島県,宮城県,医療・福祉で活動するフリーランスの柴田健太です。会員No.00059として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,広島",https://i.pravatar.cc/150?img=59,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-11 15:00:00,2026-04-16 15:00:00,2026-05-11 21:00:00,2026-05-11 21:00:00
00060,user00060@example.com,google-sub-00060,酒井美穂,女性,60代,その他,その他,福岡県,埼玉県,その他で活動するその他の酒井美穂です。会員No.00060として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,福岡",https://i.pravatar.cc/150?img=60,,,,https://youtube.com/,FALSE,FALSE,なし,オフライン,2026-06-07 19:00:00,2026-05-21 19:00:00,2026-06-08 23:00:00,2026-05-21 19:00:00
00061,user00061@example.com,google-sub-00061,佐藤拓也,男性,20代,サービス業,経営者,佐賀県,大阪府,サービス業で活動する経営者の佐藤拓也です。会員No.00061として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,佐賀",https://i.pravatar.cc/150?img=61,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-08 20:00:00,2026-06-30 20:00:00,2026-07-10 01:00:00,2026-07-10 01:00:00
00062,user00062@example.com,google-sub-00062,鈴木美穂,女性,30代,美容・健康,代表取締役,沖縄県,広島県,美容・健康で活動する代表取締役の鈴木美穂です。会員No.00062として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,沖縄",https://i.pravatar.cc/150?img=62,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-05 23:00:00,2026-06-21 23:00:00,2026-07-07 10:00:00,2026-07-07 10:00:00
00063,user00063@example.com,google-sub-00063,高橋翔太,男性,40代,建設・不動産,CEO,静岡県,沖縄県,建設・不動産で活動するCEOの高橋翔太です。会員No.00063として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,静岡",https://i.pravatar.cc/150?img=63,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-06-25 05:00:00,2026-06-08 05:00:00,2026-06-25 05:00:00,2026-06-25 05:00:00
00064,user00064@example.com,google-sub-00064,田中恵,女性,50代,飲食・サービス,サロンオーナー,新潟県,北海道,飲食・サービスで活動するサロンオーナーの田中恵です。会員No.00064として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,新潟",https://i.pravatar.cc/150?img=64,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-27 18:00:00,2026-03-22 18:00:00,2026-03-28 20:00:00,2026-03-28 20:00:00
00065,user00065@example.com,google-sub-00065,伊藤陽翔,男性,60代,製造業,専務取締役,北海道,神奈川県,製造業で活動する専務取締役の伊藤陽翔です。会員No.00065として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,北海道",https://i.pravatar.cc/150?img=65,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-05-01 19:00:00,2026-04-04 19:00:00,2026-05-02 20:00:00,2026-05-02 20:00:00
00066,user00066@example.com,google-sub-00066,渡辺陽子,女性,20代,IT・通信,工場長,宮城県,愛知県,IT・通信で活動する工場長の渡辺陽子です。会員No.00066として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,宮城",https://i.pravatar.cc/150?img=66,,https://instagram.com/,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-06-10 13:00:00,2026-06-10 13:00:00,2026-06-11 13:00:00,2026-06-11 13:00:00
00067,user00067@example.com,google-sub-00067,山本亮,男性,30代,小売,部長,東京都,兵庫県,小売で活動する部長の山本亮です。会員No.00067として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,東京",https://i.pravatar.cc/150?img=67,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-23 11:00:00,2026-03-14 11:00:00,2026-03-24 14:00:00,2026-03-24 14:00:00
00068,user00068@example.com,google-sub-00068,中村陽菜,女性,40代,教育,個人事業主,神奈川県,佐賀県,教育で活動する個人事業主の中村陽菜です。会員No.00068として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,神奈川",https://i.pravatar.cc/150?img=68,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-08 10:00:00,2026-04-04 10:00:00,2026-04-08 22:00:00,2026-04-08 22:00:00
00069,user00069@example.com,google-sub-00069,小林裕介,男性,50代,医療・福祉,フリーランス,埼玉県,新潟県,医療・福祉で活動するフリーランスの小林裕介です。会員No.00069として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,埼玉",https://i.pravatar.cc/150?img=69,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-05 00:00:00,2026-05-18 00:00:00,2026-06-06 23:00:00,2026-06-06 23:00:00
00070,user00070@example.com,google-sub-00070,加藤陽菜,女性,60代,その他,その他,千葉県,東京都,その他で活動するその他の加藤陽菜です。会員No.00070として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,千葉",https://i.pravatar.cc/150?img=70,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オンライン,2026-06-24 15:00:00,2026-06-23 15:00:00,2026-06-24 18:00:00,2026-06-24 18:00:00
00071,user00071@example.com,google-sub-00071,吉田陸,男性,20代,サービス業,経営者,愛知県,千葉県,サービス業で活動する経営者の吉田陸です。会員No.00071として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,愛知",https://i.pravatar.cc/150?img=1,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-08 09:00:00,2026-06-09 09:00:00,2026-07-09 18:00:00,2026-07-09 18:00:00
00072,user00072@example.com,google-sub-00072,山田愛,女性,30代,美容・健康,代表取締役,大阪府,京都府,美容・健康で活動する代表取締役の山田愛です。会員No.00072として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,大阪",https://i.pravatar.cc/150?img=2,,,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-07-11 09:00:00,2026-07-09 09:00:00,2026-07-11 20:00:00,2026-07-11 20:00:00
00073,user00073@example.com,google-sub-00073,佐々木大輔,男性,40代,建設・不動産,CEO,京都府,福岡県,建設・不動産で活動するCEOの佐々木大輔です。会員No.00073として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,京",https://i.pravatar.cc/150?img=3,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-16 23:00:00,2026-03-26 23:00:00,2026-04-17 14:00:00,2026-04-17 14:00:00
00074,user00074@example.com,google-sub-00074,山口花,女性,50代,飲食・サービス,サロンオーナー,兵庫県,静岡県,飲食・サービスで活動するサロンオーナーの山口花です。会員No.00074として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,兵庫",https://i.pravatar.cc/150?img=4,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-16 07:00:00,2026-06-09 07:00:00,2026-06-17 20:00:00,2026-06-17 20:00:00
00075,user00075@example.com,google-sub-00075,松本颯太,男性,60代,製造業,専務取締役,広島県,宮城県,製造業で活動する専務取締役の松本颯太です。会員No.00075として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,広島",https://i.pravatar.cc/150?img=5,,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-06-26 06:00:00,2026-06-24 06:00:00,2026-06-27 08:00:00,2026-06-27 08:00:00
00076,user00076@example.com,google-sub-00076,井上莉子,女性,20代,IT・通信,工場長,福岡県,埼玉県,IT・通信で活動する工場長の井上莉子です。会員No.00076として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,福岡",https://i.pravatar.cc/150?img=6,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-20 09:00:00,2026-04-10 09:00:00,2026-04-21 01:00:00,2026-04-21 01:00:00
00077,user00077@example.com,google-sub-00077,木村誠,男性,30代,小売,部長,佐賀県,大阪府,小売で活動する部長の木村誠です。会員No.00077として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,佐賀",https://i.pravatar.cc/150?img=7,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-04-07 15:00:00,2026-03-31 15:00:00,2026-04-08 07:00:00,2026-04-08 07:00:00
00078,user00078@example.com,google-sub-00078,林花,女性,40代,教育,個人事業主,沖縄県,広島県,教育で活動する個人事業主の林花です。会員No.00078として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,沖縄",https://i.pravatar.cc/150?img=8,,https://instagram.com/,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-06-15 05:00:00,2026-06-06 05:00:00,2026-06-16 10:00:00,2026-06-16 10:00:00
00079,user00079@example.com,google-sub-00079,斎藤和也,男性,50代,医療・福祉,フリーランス,静岡県,沖縄県,医療・福祉で活動するフリーランスの斎藤和也です。会員No.00079として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,静岡",https://i.pravatar.cc/150?img=9,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-27 23:00:00,2026-03-27 23:00:00,2026-03-29 04:00:00,2026-03-29 04:00:00
00080,user00080@example.com,google-sub-00080,清水美羽,女性,60代,その他,その他,新潟県,北海道,その他で活動するその他の清水美羽です。会員No.00080として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,新潟",https://i.pravatar.cc/150?img=10,https://line.me/,,,,TRUE,FALSE,なし,オフライン,2026-04-20 22:00:00,2026-04-18 22:00:00,2026-04-22 08:00:00,2026-04-22 08:00:00
00081,user00081@example.com,google-sub-00081,阿部誠,男性,20代,サービス業,経営者,北海道,神奈川県,サービス業で活動する経営者の阿部誠です。会員No.00081として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,北海道",https://i.pravatar.cc/150?img=11,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-07 17:00:00,2026-07-03 17:00:00,2026-07-08 15:00:00,2026-07-08 15:00:00
00082,user00082@example.com,google-sub-00082,池田恵,女性,30代,美容・健康,代表取締役,宮城県,愛知県,美容・健康で活動する代表取締役の池田恵です。会員No.00082として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,宮城",https://i.pravatar.cc/150?img=12,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-10 14:00:00,2026-07-01 14:00:00,2026-07-11 00:00:00,2026-07-11 00:00:00
00083,user00083@example.com,google-sub-00083,森蓮,男性,40代,建設・不動産,CEO,東京都,兵庫県,建設・不動産で活動するCEOの森蓮です。会員No.00083として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,東京",https://i.pravatar.cc/150?img=13,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-17 08:00:00,2026-02-23 08:00:00,2026-03-18 03:00:00,2026-03-18 03:00:00
00084,user00084@example.com,google-sub-00084,橋本美羽,女性,50代,飲食・サービス,サロンオーナー,神奈川県,佐賀県,飲食・サービスで活動するサロンオーナーの橋本美羽です。会員No.00084として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,神奈川",https://i.pravatar.cc/150?img=14,,,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オンライン,2026-03-20 05:00:00,2026-03-04 05:00:00,2026-03-20 05:00:00,2026-03-20 05:00:00
00085,user00085@example.com,google-sub-00085,山下蒼,男性,60代,製造業,専務取締役,埼玉県,新潟県,製造業で活動する専務取締役の山下蒼です。会員No.00085として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,埼玉",https://i.pravatar.cc/150?img=15,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-05-24 22:00:00,2026-04-24 22:00:00,2026-05-25 06:00:00,2026-05-25 06:00:00
00086,user00086@example.com,google-sub-00086,石川奈々,女性,20代,IT・通信,工場長,千葉県,東京都,IT・通信で活動する工場長の石川奈々です。会員No.00086として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,千葉",https://i.pravatar.cc/150?img=16,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-17 22:00:00,2026-05-25 22:00:00,2026-06-19 09:00:00,2026-06-19 09:00:00
00087,user00087@example.com,google-sub-00087,中島拓也,男性,30代,小売,部長,愛知県,千葉県,小売で活動する部長の中島拓也です。会員No.00087として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,愛知",https://i.pravatar.cc/150?img=17,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-28 16:00:00,2026-05-09 16:00:00,2026-05-29 05:00:00,2026-05-29 05:00:00
00088,user00088@example.com,google-sub-00088,前田結衣,女性,40代,教育,個人事業主,大阪府,京都府,教育で活動する個人事業主の前田結衣です。会員No.00088として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,大阪",https://i.pravatar.cc/150?img=18,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-05 05:00:00,2026-05-09 05:00:00,2026-06-05 21:00:00,2026-06-05 21:00:00
00089,user00089@example.com,google-sub-00089,藤田湊,男性,50代,医療・福祉,フリーランス,京都府,福岡県,医療・福祉で活動するフリーランスの藤田湊です。会員No.00089として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,京",https://i.pravatar.cc/150?img=19,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-30 17:00:00,2026-04-02 17:00:00,2026-04-30 20:00:00,2026-04-30 20:00:00
00090,user00090@example.com,google-sub-00090,岡田恵,女性,60代,その他,その他,兵庫県,静岡県,その他で活動するその他の岡田恵です。会員No.00090として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,兵庫",https://i.pravatar.cc/150?img=20,,https://instagram.com/,,https://youtube.com/,FALSE,FALSE,なし,オフライン,2026-04-11 12:00:00,2026-03-16 12:00:00,2026-04-12 05:00:00,2026-03-16 12:00:00
00091,user00091@example.com,google-sub-00091,後藤健太,男性,20代,サービス業,経営者,広島県,宮城県,サービス業で活動する経営者の後藤健太です。会員No.00091として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,広島",https://i.pravatar.cc/150?img=21,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-07-11 15:00:00,2026-06-17 15:00:00,2026-07-11 23:00:00,2026-07-11 23:00:00
00092,user00092@example.com,google-sub-00092,長谷川奈々,女性,30代,美容・健康,代表取締役,福岡県,埼玉県,美容・健康で活動する代表取締役の長谷川奈々です。会員No.00092として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,福岡",https://i.pravatar.cc/150?img=22,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-10 11:00:00,2026-06-23 11:00:00,2026-07-12 08:00:00,2026-07-12 08:00:00
00093,user00093@example.com,google-sub-00093,石井悠人,男性,40代,建設・不動産,CEO,佐賀県,大阪府,建設・不動産で活動するCEOの石井悠人です。会員No.00093として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,佐賀",https://i.pravatar.cc/150?img=23,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-22 01:00:00,2026-04-19 01:00:00,2026-04-22 05:00:00,2026-04-22 05:00:00
00094,user00094@example.com,google-sub-00094,村上真由,女性,50代,飲食・サービス,サロンオーナー,沖縄県,広島県,飲食・サービスで活動するサロンオーナーの村上真由です。会員No.00094として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,沖縄",https://i.pravatar.cc/150?img=24,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-24 00:00:00,2026-03-29 00:00:00,2026-04-24 23:00:00,2026-04-24 23:00:00
00095,user00095@example.com,google-sub-00095,近藤陸,男性,60代,製造業,専務取締役,静岡県,沖縄県,製造業で活動する専務取締役の近藤陸です。会員No.00095として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,静岡",https://i.pravatar.cc/150?img=25,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-04-22 21:00:00,2026-04-09 21:00:00,2026-04-23 05:00:00,2026-04-23 05:00:00
00096,user00096@example.com,google-sub-00096,坂本陽子,女性,20代,IT・通信,工場長,新潟県,北海道,IT・通信で活動する工場長の坂本陽子です。会員No.00096として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,新潟",https://i.pravatar.cc/150?img=26,,,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-05-23 14:00:00,2026-04-25 14:00:00,2026-05-23 16:00:00,2026-05-23 16:00:00
00097,user00097@example.com,google-sub-00097,遠藤達也,男性,30代,小売,部長,北海道,神奈川県,小売で活動する部長の遠藤達也です。会員No.00097として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,北海道",https://i.pravatar.cc/150?img=27,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-05 18:00:00,2026-05-15 18:00:00,2026-06-06 00:00:00,2026-06-06 00:00:00
00098,user00098@example.com,google-sub-00098,青木美月,女性,40代,教育,個人事業主,宮城県,愛知県,教育で活動する個人事業主の青木美月です。会員No.00098として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,宮城",https://i.pravatar.cc/150?img=28,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-03-24 08:00:00,2026-02-24 08:00:00,2026-03-25 10:00:00,2026-03-25 10:00:00
00099,user00099@example.com,google-sub-00099,藤井颯太,男性,50代,医療・福祉,フリーランス,東京都,兵庫県,医療・福祉で活動するフリーランスの藤井颯太です。会員No.00099として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,東京",https://i.pravatar.cc/150?img=29,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-03-28 21:00:00,2026-02-27 21:00:00,2026-03-29 12:00:00,2026-03-29 12:00:00
00100,user00100@example.com,google-sub-00100,西村愛,女性,60代,その他,その他,神奈川県,佐賀県,その他で活動するその他の西村愛です。会員No.00100として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,神奈川",https://i.pravatar.cc/150?img=30,https://line.me/,,,,TRUE,FALSE,なし,オフライン,2026-03-21 20:00:00,2026-02-21 20:00:00,2026-03-22 22:00:00,2026-03-22 22:00:00
00101,user00101@example.com,google-sub-00101,福田太郎,男性,20代,サービス業,経営者,埼玉県,新潟県,サービス業で活動する経営者の福田太郎です。会員No.00101として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,埼玉",https://i.pravatar.cc/150?img=31,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-10 15:00:00,2026-06-15 15:00:00,2026-07-11 17:00:00,2026-07-11 17:00:00
00102,user00102@example.com,google-sub-00102,太田美穂,女性,30代,美容・健康,代表取締役,千葉県,東京都,美容・健康で活動する代表取締役の太田美穂です。会員No.00102として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,千葉",https://i.pravatar.cc/150?img=32,,https://instagram.com/,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-07-09 20:00:00,2026-06-14 20:00:00,2026-07-11 16:00:00,2026-07-11 16:00:00
00103,user00103@example.com,google-sub-00103,三浦翔太,男性,40代,建設・不動産,CEO,愛知県,千葉県,建設・不動産で活動するCEOの三浦翔太です。会員No.00103として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,愛知",https://i.pravatar.cc/150?img=33,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-15 00:00:00,2026-04-18 00:00:00,2026-05-16 06:00:00,2026-05-16 06:00:00
00104,user00104@example.com,google-sub-00104,岡本美穂,女性,50代,飲食・サービス,サロンオーナー,大阪府,京都府,飲食・サービスで活動するサロンオーナーの岡本美穂です。会員No.00104として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,大阪",https://i.pravatar.cc/150?img=34,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-06-06 11:00:00,2026-05-26 11:00:00,2026-06-07 06:00:00,2026-06-07 06:00:00
00105,user00105@example.com,google-sub-00105,松田剛,男性,60代,製造業,専務取締役,京都府,福岡県,製造業で活動する専務取締役の松田剛です。会員No.00105として交流を楽しみにしています。,製造業や関連分野で協業できる方,一方的な営業のみの方,"製造,専務取締役,京",https://i.pravatar.cc/150?img=35,,https://instagram.com/,,,TRUE,FALSE,なし,オンライン,2026-06-04 01:00:00,2026-05-14 01:00:00,2026-06-04 13:00:00,2026-06-04 13:00:00
00106,user00106@example.com,google-sub-00106,中川花,女性,20代,IT・通信,工場長,兵庫県,静岡県,IT・通信で活動する工場長の中川花です。会員No.00106として交流を楽しみにしています。,IT・通信や関連分野で協業できる方,一方的な営業のみの方,"IT,工場長,兵庫",https://i.pravatar.cc/150?img=36,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-20 17:00:00,2026-04-23 17:00:00,2026-05-20 21:00:00,2026-05-20 21:00:00
00107,user00107@example.com,google-sub-00107,中野亮,男性,30代,小売,部長,広島県,宮城県,小売で活動する部長の中野亮です。会員No.00107として交流を楽しみにしています。,小売や関連分野で協業できる方,一方的な営業のみの方,"小売,部長,広島",https://i.pravatar.cc/150?img=37,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-05-18 05:00:00,2026-05-02 05:00:00,2026-05-19 06:00:00,2026-05-19 06:00:00
00108,user00108@example.com,google-sub-00108,原田陽菜,女性,40代,教育,個人事業主,福岡県,埼玉県,教育で活動する個人事業主の原田陽菜です。会員No.00108として交流を楽しみにしています。,教育や関連分野で協業できる方,一方的な営業のみの方,"教育,個人事業主,福岡",https://i.pravatar.cc/150?img=38,,,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-05-21 01:00:00,2026-05-18 01:00:00,2026-05-21 17:00:00,2026-05-21 17:00:00
00109,user00109@example.com,google-sub-00109,小野直樹,男性,50代,医療・福祉,フリーランス,佐賀県,大阪府,医療・福祉で活動するフリーランスの小野直樹です。会員No.00109として交流を楽しみにしています。,医療・福祉や関連分野で協業できる方,一方的な営業のみの方,"医療,フリーランス,佐賀",https://i.pravatar.cc/150?img=39,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-04-18 17:00:00,2026-04-17 17:00:00,2026-04-18 23:00:00,2026-04-18 23:00:00
00110,user00110@example.com,google-sub-00110,田村美羽,女性,60代,その他,その他,沖縄県,広島県,その他で活動するその他の田村美羽です。会員No.00110として交流を楽しみにしています。,その他や関連分野で協業できる方,一方的な営業のみの方,"その,その他,沖縄",https://i.pravatar.cc/150?img=40,https://line.me/,https://instagram.com/,,,TRUE,FALSE,なし,オフライン,2026-05-07 14:00:00,2026-04-14 14:00:00,2026-05-08 10:00:00,2026-05-08 10:00:00
00111,user00111@example.com,google-sub-00111,竹内悠人,男性,20代,サービス業,経営者,静岡県,沖縄県,サービス業で活動する経営者の竹内悠人です。会員No.00111として交流を楽しみにしています。,サービス業や関連分野で協業できる方,一方的な営業のみの方,"サー,経営者,静岡",https://i.pravatar.cc/150?img=41,,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-07 09:00:00,2026-07-04 09:00:00,2026-07-08 09:00:00,2026-07-08 09:00:00
00112,user00112@example.com,google-sub-00112,金子莉子,女性,30代,美容・健康,代表取締役,新潟県,北海道,美容・健康で活動する代表取締役の金子莉子です。会員No.00112として交流を楽しみにしています。,美容・健康や関連分野で協業できる方,一方的な営業のみの方,"美容,代表取締役,新潟",https://i.pravatar.cc/150?img=42,https://line.me/,,https://x.com/,,TRUE,FALSE,なし,オンライン,2026-07-10 17:00:00,2026-07-09 17:00:00,2026-07-12 14:00:00,2026-07-12 14:00:00
00113,user00113@example.com,google-sub-00113,和田悠人,男性,40代,建設・不動産,CEO,北海道,神奈川県,建設・不動産で活動するCEOの和田悠人です。会員No.00113として交流を楽しみにしています。,建設・不動産や関連分野で協業できる方,一方的な営業のみの方,"建設,CEO,北海道",https://i.pravatar.cc/150?img=43,https://line.me/,https://instagram.com/,https://x.com/,,TRUE,FALSE,なし,オフライン,2026-07-01 09:00:00,2026-06-02 09:00:00,2026-07-02 19:00:00,2026-07-02 19:00:00
00114,user00114@example.com,google-sub-00114,中山優子,女性,50代,飲食・サービス,サロンオーナー,宮城県,愛知県,飲食・サービスで活動するサロンオーナーの中山優子です。会員No.00114として交流を楽しみにしています。,飲食・サービスや関連分野で協業できる方,一方的な営業のみの方,"飲食,サロンオーナー,宮城",https://i.pravatar.cc/150?img=44,,https://instagram.com/,https://x.com/,https://youtube.com/,TRUE,FALSE,なし,オフライン,2026-05-16 12:00:00,2026-05-14 12:00:00,2026-05-18 06:00:00,2026-05-18 06:00:00
